EOG Left,EEG C3-A1,EEG O1-A1,EEG C4-A1,EEG O2-A1
15.72265625,-13.0859375,-3.3203125,-3.515625,-4.98046875
-10.15625,-6.640625,-8.30078125,-19.62890625,-10.9375
19.62890625,1.953125,-3.90625,2.05078125,10.15625
-8.30078125,8.88671875,14.6484375,-9.08203125,19.82421875
15.52734375,-1.171875,6.0546875,-6.4453125,-6.54296875
6.54296875,2.5390625,6.34765625,8.88671875,5.2734375
31.640625,6.15234375,-6.54296875,-7.51953125,-5.56640625
-18.5546875,-1.26953125,-1.7578125,-3.61328125,-7.12890625
-46.19140625,-2.63671875,-8.30078125,2.05078125,-8.49609375
88.8671875,-4.4921875,5.859375,-4.58984375,-1.5625
11.62109375,-0.78125,-3.7109375,6.0546875,-2.05078125
-25.29296875,17.67578125,12.40234375,9.27734375,15.4296875
2.34375,8.203125,13.76953125,4.4921875,8.10546875
-27.9296875,8.203125,-14.55078125,-3.7109375,-9.765625
-34.1796875,3.125,24.90234375,5.2734375,19.82421875
7.6171875,0.68359375,-4.19921875,19.921875,-1.85546875
-37.3046875,-10.64453125,-8.7890625,-7.8125,-0.87890625
-11.42578125,-2.34375,5.76171875,-3.02734375,7.03125
12.59765625,-6.73828125,6.54296875,-14.55078125,-4.98046875
19.921875,10.3515625,3.90625,4.1015625,1.7578125
-56.34765625,-14.16015625,-18.359375,-5.46875,-8.49609375
35.05859375,-4.39453125,13.671875,-1.07421875,29.1015625
-0.1953125,10.44921875,-9.1796875,9.1796875,-6.4453125
-10.7421875,-17.28515625,-18.9453125,-5.76171875,-9.375
-45.5078125,1.5625,-3.7109375,10.15625,-21.484375
-12.5,0.5859375,-1.7578125,-2.34375,-0.5859375
-1.26953125,-4.00390625,11.23046875,-5.76171875,7.12890625
-8.984375,-11.81640625,8.203125,-11.328125,8.984375
-6.15234375,-1.85546875,-6.15234375,-0.9765625,-4.6875
-10.25390625,26.07421875,30.078125,12.01171875,14.84375
-1.171875,22.4609375,10.3515625,16.9921875,15.91796875
16.6015625,-16.40625,-3.41796875,-13.18359375,6.25
0.78125,0.68359375,-5.2734375,6.93359375,-7.12890625
165.0390625,-0.390625,9.375,-4.39453125,-10.9375
-3.22265625,3.3203125,-1.67e-14,2.1484375,2.83203125
21.875,0.09765625,8.0078125,-11.42578125,10.44921875
-45.41015625,-17.7734375,-0.87890625,-7.71484375,-4.19921875
26.7578125,14.74609375,-12.59765625,10.44921875,-1.85546875
-2.63671875,-3.515625,-11.23046875,2.44140625,-8.59375
-118.359375,-24.31640625,-7.71484375,-47.94921875,-24.4140625
5.37109375,9.08203125,13.28125,5.56640625,7.8125
69.53125,8.10546875,0.5859375,6.54296875,-6.8359375
16.796875,16.50390625,-0.68359375,11.03515625,5.95703125
55.078125,-14.0625,-2.34375,-13.37890625,-5.17578125
1.07421875,-2.1484375,-4.98046875,-0.5859375,5.2734375
-12.20703125,-10.25390625,2.34375,-6.0546875,1.85546875
-8.203125,-3.90625,4.58984375,0.48828125,-1.67e-14
-4.1015625,-1.07421875,2.24609375,-6.25,-3.41796875
26.5625,2.734375,-2.83203125,-5.2734375,4.8828125
-13.671875,8.88671875,27.44140625,9.47265625,13.18359375
26.66015625,4.58984375,-0.68359375,-3.7109375,-1.3671875
42.28515625,-9.27734375,-15.33203125,-5.078125,-11.71875
32.03125,19.23828125,-1.46484375,19.140625,3.90625
-10.3515625,12.20703125,-0.5859375,21.484375,19.82421875
-22.265625,-16.50390625,6.0546875,-5.17578125,-5.859375
-12.3046875,11.328125,-1.67e-14,3.3203125,-1.67e-14
-36.23046875,7.2265625,-8.3984375,-5.46875,2.34375
34.66796875,11.42578125,-14.94140625,14.16015625,-18.84765625
-21.38671875,2.05078125,18.359375,7.32421875,27.34375
23.6328125,0.1953125,7.2265625,1.07421875,10.15625
-8.203125,-9.66796875,14.2578125,-9.9609375,11.9140625
-32.421875,-14.94140625,7.91015625,-2.9296875,-18.45703125
6.34765625,32.51953125,11.03515625,20.01953125,16.796875
-5.46875,4.296875,0.48828125,2.24609375,-4.98046875
5.078125,16.6015625,2.5390625,10.7421875,-3.515625
-26.46484375,-3.02734375,-7.32421875,2.63671875,-1.66015625
14.6484375,7.12890625,-3.515625,10.44921875,4.8828125
19.3359375,28.41796875,7.71484375,27.9296875,6.0546875
-8.7890625,-4.6875,6.8359375,-5.56640625,-13.37890625
-15.8203125,3.125,8.49609375,-0.390625,6.25
14.74609375,0.9765625,-0.5859375,7.51953125,-4.98046875
45.21484375,18.84765625,-4.98046875,18.65234375,12.40234375
-15.234375,-18.45703125,-0.68359375,-16.2109375,-1.46484375
7.91015625,5.078125,4.19921875,13.37890625,8.3984375
10.64453125,5.95703125,9.08203125,4.296875,23.14453125
-7.421875,2.1484375,-14.94140625,0.29296875,-6.15234375
-37.79296875,15.91796875,-1.3671875,13.37890625,-1.67e-14
-18.06640625,-13.671875,-10.44921875,-3.80859375,-0.87890625
7.2265625,-1.67e-14,4.296875,0.29296875,-2.9296875
-22.8515625,0.5859375,-10.83984375,-0.68359375,-0.48828125
24.31640625,-16.11328125,-13.37890625,-5.859375,-15.52734375
-3.80859375,-11.81640625,9.1796875,-22.55859375,3.22265625
7.8125,5.6640625,18.75,-3.22265625,28.3203125
10.25390625,-2.34375,-1.7578125,-3.515625,-7.32421875
14.55078125,-15.91796875,-32.51953125,-14.453125,-41.6015625
-29.4921875,-9.9609375,-9.08203125,-3.3203125,-1.46484375
-2.83203125,-2.9296875,-1.46484375,0.390625,9.47265625
1.953125,-2.24609375,-10.7421875,1.46484375,-14.94140625
5.56640625,-2.9296875,-4.19921875,-0.87890625,-9.86328125
15.91796875,-9.765625,-0.1953125,-14.84375,-10.9375
-2.1484375,4.39453125,-26.3671875,16.11328125,-16.89453125
-22.0703125,2.5390625,-1.67e-14,6.25,-8.0078125
-2.05078125,15.52734375,14.2578125,11.03515625,16.30859375
2.734375,-2.24609375,16.015625,4.296875,23.2421875
-50.29296875,-19.53125,5.46875,-6.640625,-4.4921875
1.85546875,-5.859375,-14.84375,0.48828125,-19.7265625
11.1328125,1.07421875,-6.0546875,-11.03515625,-8.69140625
5.46875,-6.25,16.796875,-3.80859375,27.24609375
-35.7421875,4.1015625,5.95703125,3.515625,-6.15234375
-10.546875,0.78125,-2.05078125,1.7578125,-0.9765625
12.01171875,13.4765625,2.34375,16.89453125,1.07421875
-4.98046875,12.01171875,-2.05078125,12.20703125,-1.46484375
0.5859375,-16.9921875,-10.44921875,-11.62109375,-17.7734375
12.5,-2.734375,9.86328125,-6.25,10.05859375
15.8203125,8.10546875,-8.69140625,12.59765625,-5.37109375
0.1953125,-12.20703125,2.83203125,-11.62109375,4.1015625
-5.17578125,-6.640625,-1.66015625,-10.3515625,-3.90625
-0.87890625,-13.4765625,-2.1484375,-8.203125,-2.1484375
-59.765625,-2.44140625,8.49609375,2.734375,8.10546875
0.48828125,-0.1953125,15.8203125,-3.61328125,9.5703125
-17.3828125,-22.65625,3.41796875,-15.234375,-17.67578125
-75.0,-7.71484375,1.66015625,-5.46875,4.98046875
